CourseNum,CourseName,CreditHours,Description,GenEdAttrib,DepartmentCode,Department
202,Industrial Design II,4 hours.,Studio design problems of increasing complexity involving structures and mechanisms. Lectures and discussions to explore design issues affecting contemporary culture and aesthetics perceptions. Additional fees may apply. See Class Schedule. Prerequisite: ARTD 201. Concurrent registration in ARTD 228.,,ARTD,Art--Design
380,Publication Development and Production,3 hours.,"Addresses the modern realities of publication production (cost, competition, and consumption, among them) while giving students an experiential learning opportunity to take the lead in developing and publishing an e-magazine. Students will further develop and apply fundamental journalistic skills learned in AGCM 220, and learn magazine writing style, technical skills including photography and design, and production and e-delivery platforms. Students will discuss approaches to staffing, as well as publishers' and audiences' motivation. Approved for Letter and S/U grading. Prerequisite: AGCM 220.",,AGCM,Agricultural Communications
199,Undergraduate Open Seminar,0 TO 5 hours.,Approved for both letter and S/U grading. May be repeated.,,BUS,Business
102,Elementary Czech II,4 hours.,Continuation of CZCH 101. Prerequisite: CZCH 101.,,CZCH,Czech
210,Business Analytics I,3 hours.,"An introduction to basic knowledge of statistics, distributions, and linear regressions in a business setting Students will be able to perform and understand the use of basic statistical methods in generating inferences and modeling including hypothesis testing and multivariate regression. The course will introduce the concepts of a data life cycle, data visualization, and data summarization. Students will learn how to identify, describe and frame business opportunities through evidence-based storytelling and hands-on learning using spreadsheets and data visualization tools.",,BADM,Business Administration
210,Introduction to Digital Learning Environments,3 hours.,"Surveys the field of digital environments and their capacity to support teaching and learning. Examines theories of interactivity, immersion, learning with multi-media, and digital literacies to discuss and evaluate various digital environments. Students learn to critically assess digital environments and to create original prototypes that target a specific and important learning or teaching goal. Environments that will be discussed and experimented with in class include virtual worlds, social networks, digital classrooms, interactive exhibits, video games, and tangible technologies.",Social & Beh Sci - Beh Sci course.,CI,Curriculum and Instruction
398,Undergraduate Seminar,1 TO 3 hours.,"Special topics in a field of study directly pertaining to subject matter in agricultural communications. Same as ALEC 398. May be repeated in the same or separate semesters, if topics vary.",,AGCM,Agricultural Communications
100,Grainger Engineering Orientation Seminar,1 hours.,"Introduces students to the Grainger College of Engineering and their respective departments. Students will explore the academic environment at Illinois, developing skills that will aid in learning both inside and outside the classroom, build their leadership and collaborative skills, and build community inside and outside the classroom. Through class discussion and assignments, students will explore campus resources, examine and set goals for academic, personal, and professional development, and develop skills to work in diverse teams through a class project.",,ENG,Engineering
100,Technical Systems in Agr,3 hours.,"Examples, problems, discussions, and laboratory exercises pointing to present and potential engineering applications in agriculture; emphasis on power and machinery, soil and water control, electricity, and structures.",,ETMA,Engineering Technology and Management for Agricultural Systems
200,U.S. Race and Empire,3 hours.,"Invites students to examine histories and narratives of U.S. race and empire, drawing upon multiple theoretical and methodological works in Asian American studies and related fields. Same as LLS 200.","Humanities - Hist & Phil, and Cultural Studies - US Minority course.",AAS,Asian American Studies
100,Intro to Contemporary Dance,3 hours.,"Overview of major works, figures, and trends responsible for shaping dance as an evolving contemporary art form. The course will have lecture, viewing, discussion and experiential (studio participation) components. For non-dance majors.","Humanities - Lit & Arts, and Cultural Studies - Western course.",DANC,Dance
217,Graphic Design for Non-Majors,3 hours.,ARTS EXCHANGE: Introduces students to the field of graphic design in theory and practice. Examines what graphic designers make and the methods that are employed in contemporary design practice. Emphasis is placed on the organization and visual presentation of relevant content across media and their effect within systems. Additional fees may apply. See Class Schedule. Prerequisite: Restricted to students in FAA or permission of instructor.,,ARTD,Art--Design
101,Engineering at Illinois,1 hours.,Introduction to undergraduate programs of study available in The Grainger College of Engineering and the potential careers of graduates of those programs. Intended for Division of General Studies students who may be interested in becoming an engineering major or other students who wish to explore engineering careers.,,ENG,Engineering
100,Introduction to Meteorology,3 hours.,Same as ATMS 100. See ATMS 100.,Nat Sci & Tech - Phys Sciences course.,GGIS,Geography & Geographic Information Science
420,Public Information Campaigns,3 hours.,"Coordinated approach to planning, implementing and evaluating information campaigns in the broad domain of food and agriculture. Students work with groups, agencies and organizations in designing communication campaigns strategies and tactics. 3 undergraduate hours. No graduate credit. Approved for Letter and S/U grading. Credit is not given for both AGCM 420 and AGCM 320. Prerequisite: Sophomore standing and Composition I course.",,AGCM,Agricultural Communications
132,Basics of Project Management,1 hours.,Covers the basic concepts of project management software. Students will learn introductory features of project management software and utilize these features to complete class projects.,,ETMA,Engineering Technology and Management for Agricultural Systems
100,Global History,3 hours.,"Broad introduction to global history, by exploring the global structures and transnational forces that have shaped human history, from the emergence of agriculture and urban centers to our contemporary global village.","Humanities - Hist & Phil, and Cultural Studies - Non-West course.",HIST,History
395,Independent Study,2 OR 3 hours.,"Permits study of problems not considered in other courses; for students who excel in self-direction and intellectual curiosity. Approved for both letter and S/U grading. Prerequisite: Junior or senior standing; minimum GPA of 3.5; completion of Advanced Composition requirement, and consent of adviser and staff member supervising the work.",,CI,Curriculum and Instruction
201,US Racial & Ethnic Politics,3 hours.,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.","Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",AAS,Asian American Studies
218,Interaction Design Foundation,3 hours.,"This 16-week course will immerse students in a series of assignments designed to help them develop a fundamental understanding of front-end web technologies, such as HTML5, CSS and JavaScript, and prepare them to plan and develop interactive experiences. Prerequisite: Completion of the First-Year Curriculum in Art & Design.",,ARTD,Art--Design
101,Elementary Italian I,4 hours.,For students who have no credit in Italian.,,ITAL,Italian
495,Communicating Science,3 hours.,"Explores how science is communicated across contexts. Students will gain practical skills in communicating science to broad audiences. The main focus will be on agricultural science, but the lessons will be relevant to all science communicators. Topics will include exploring the foundations of science communication, developing skills in science writing for news and advocacy, public speaking, ethics and science communication, how persuasion operates in the context of science communication, science communication campaigns, among others. 3 undergraduate hours. 3 graduate hours. Approved for Letter and S/U grading. Prerequisite: Restricted to Junior or Senior standing for undergraduate students. Graduate standing is required for graduate credit.",,AGCM,Agricultural Communications
199,Undergraduate Open Seminar,1 TO 5 hours.,Open seminar or experimental course on a topic in technical systems management. May be repeated to a maximum of 12 hours.,,ETMA,Engineering Technology and Management for Agricultural Systems
199,Undergraduate Open Seminar,1 TO 3 hours.,"Approved for letter and S/U grading. May be repeated in the same term up to 6 hours, if topics vary; May be repeated in separate terms up to 12 hours, if topics vary.",,LAW,Law
401,Introductory Teaching in a Diverse Society,3 hours.,"Orients the student to ways in which English, Mathematics, Science, Social Studies or Computer Science is learned in school settings. Integrates an introduction to the use of technology as both a tool and a context for teaching and learning. As participants in a series of learning activities, students will reflect on the teaching and learning of English, Mathematics, Science, Social Studies or Computer Science from an inquiry oriented perspective. Coursework is integrated with a school field experience to connect theory with practice in an examination of research and current trends. 3 undergraduate hours. 3 graduate hours. Prerequisite: Admission to the Secondary Teacher Education Program, Department of Curriculum and Instruction Computer Science licensure program or consent of the instructor/department.",,CI,Curriculum and Instruction
201,Business Dynamics,3 hours.,Introduces College of Business sophomores to the primary functional areas of business and how each functional area relates to comprise a business system. Students will engage in a dynamic simulation to develop an understanding of the interdependencies between the functional areas. The course will also highlight and continue to develop the teamwork and leadership skills required of successful managers. Prerequisite: Sophomore standing; BUS 101.,,BUS,Business
299,Media Study Abroad,0 TO 18 hours.,"Provides credit toward the undergraduate degree for study at accredited foreign institutions or approved overseas programs. Final determination of credit is made upon the student's completion of the work. Approved for Letter and S/U grading. Prerequisite: One year of residence at UIUC; good academic standing, and prior approval of the College of Media.",,MDIA,Media
330,Neuroscience for Engineers,3 hours.,"Provides an introduction to the fields of Neuroscience and Neural Engineering. Content includes a systems-level overview of the central nervous system, its blood supply, and its structural and functional features, and its connection to the peripheral nervous system. The course focuses on the mechanisms by which cells create, transmit, integrate, and perceive signals to enable memory, speech, language, pain, consciousness, and mood. Neuroscience fundamentals are taught from the perspective of engineering principles that guide the development and implementation of neural technologies and enable a quantitative understanding of function through modeling. Neural engineering applications include robotics, brain and spinal cord stimulation, non-invasive brain machine interfaces, and virtual reality gamification. Neuroimaging techniques and their application for brain science, as well as the novel tools and devices used to diagnose, monitor and improve neurological function will also be discussed. Upon completion of this course, students will have an understanding of technological developments in neural engineering and a foundational understanding of neurobiology and the pathological mechanisms underlying prevalent disorders of the nervous system. Prerequisite: NE 100, MCB 252. Restricted to Neural Engineering majors.",,NE,Neural Engineering
275,The Politics of Fashion,3 hours.,Same as GWS 275. See GWS 275.,Cultural Studies - US Minority course.,AAS,Asian American Studies
200,"Plants, Pathogens, and People",3 hours.,"Plant diseases and their impact on food supplies and human history are studied in lectures, demonstrations and discussions. Issues of food production and safety, pesticide use and human health, and the environment are considered. Includes the biology of pathogens that cause plant disease. Designed for non-science and science majors. Prerequisite: RHET 105 or equivalent.","Advanced Composition, and Nat Sci & Tech - Life Sciences course.",PLPA,Plant Pathology
234,"Wiring, Motors and Control Sys",3 hours.,"Selecting and using wiring materials, electric motors and controls in lighting, heating, ventilation, and materials handling problems. Includes laboratory. Prerequisite: TSM 100.",,ETMA,Engineering Technology and Management for Agricultural Systems
199,Undergraduate Open Seminar,1 TO 5 hours.,"An experimental course on a special topic in agricultural leadership, education and communications. May be repeated in the same or separate terms as topics vary to a maximum of 12 hours. Prerequisite: ALEC Program approval required.",,AGED,Agricultural Education
110,Communicating and Presenting in Engineering,2 hours.,"Technical communications skills for engineering students. Emphasis on identifying content for audience for a given presentation setting, critiquing presentations on the basis of content, delivery, and visual aids, designing slides that increase effectiveness of communication and delivery of content, and interactions in teams to design slides and present topics. Same as TE 110.",,ENG,Engineering
228,Computer Applications,3 hours.,"Concepts, methods and applications of computer-aided industrial design to the design of products for mass manufacture. Rendering and lighting techniques to communicate product forms. Additional fees may apply. See Class Schedule. Prerequisite: Concurrent registration in ARTD 202.",,ARTD,Art--Design
572,Proseminar II,4 hours.,"Addresses the problems of communications, including the individual as a communicating system, symbolic processes, analysis of messages, psycholinguistics, and language as social behavior. Prerequisite: Consent of department.",,MDIA,Media
102,Principles of Research,4 hours.,"Continued instruction in structuring academic, argumentative essays; concentrating on the use of primary and secondary sources as evidence in research-based arguments. Second semester of a two-semester sequence (RHET 101 - RHET 102) that fulfills the campus Composition I general education requirement. This course includes weekly individual tutorials. Credit is not given for both RHET 102 and RHET 105. Prerequisite: RHET 101.",Composition I course.,RHET,Rhetoric and Composition
102,Elementary Italian II,4 hours.,Continuation of ITAL 101. Prerequisite: ITAL 101 or one year of high school Italian.,,ITAL,Italian
303,Living the Law,3 hours.,"Combines the study of major areas of law with small-group simulations to explore how the law operates in different contexts in American society. Students interested in experiencing how lawyers, lawmakers, prosecutors, and judges work with the law will benefit from this course. Substantively, the class surveys the roots of American law; the creation of the United States Constitution; the evolution of equal protection and due process law; and provides an overview of Contracts, Torts, Criminal Law, Family Law, and legal ethics and procedure.",Humanities - Hist & Phil course.,LAW,Law
110,Introduction to Intercultural Competence,3 hours.,"Introductory overview aiming to define and practice intercultural competence by examining how to use it in educational, professional, and social settings. Explores cultural communications by studying how identities and cultures are formed and expressed, drawing on examples from literature, cinema, and other forms of cultural productions.","Humanities - Lit & Arts, and Cultural Studies - Western course.",SLCL,"Literatures, Cultures, and Linguistics"
410,Neural Circuits and Systems,3 OR 4 hours.,Same as ECE 410. See ECE 410.,,NE,Neural Engineering
395,Undergrad Research or Thesis,1 TO 4 hours.,"Independent research, special problems, thesis, development and/or design work under the supervision of an appropriate member of the faculty. May be repeated. Independent Study courses are limited to 12 hours total applying to a degree in ACES. Prerequisite: Cumulative GPA of 2.5 or above at the time the activity is arranged and consent of instructor.",,PLPA,Plant Pathology
366,Product Design and Development,3 hours.,Same as BADM 366. See BADM 366.,,TMGT,Technology and Management Courses
116,Dance I,2 hours.,"An umbrella course for non-majors to explore all beginning dancing technique courses offered in the Department. Courses are offered from a range of cultural origins and traditions, which may include techniques such as Ballet, Capoeira, Contemporary Modern, Hip Hop, House, Improvisation, Jazz, Tap, Umfundalai, West African, etc. Specific dance forms for each semester will be listed in the class schedule. These introductory courses provide students with the physical study of various dance techniques, and an introduction to the cultural contest of their creation and practice. May be repeated. Prerequisite: Restricted to non-dance majors.",,DANC,Dance
404,Teaching and Assessing Secondary School Students,3 hours.,"Emphasizes the practical application of theory and recommended practices for developing curriculum, teaching, and assessing learning in the middle and senior high school years. 3 undergraduate hours. 3 graduate hours. Prerequisite: CI 402 or CI 403. Concurrent enrollment in EDPR 442 required.",,CI,Curriculum and Instruction
202,Elementary Zulu II,5 hours.,"Continuation of ZULU 201 with introduction of more advanced grammar; emphasis on more fluency in speaking, reading, and writing simple sentences in standard Zulu. Same as AFST 252. Participation in the language laboratory is required. Prerequisite: ZULU 201.",,ZULU,Zulu
111,MEP Mentoring,1 hours.,"Prepares traditionally underrepresented minority engineering students towards a successful campus experience. Students will build their academic and professional understanding through the development of a working academic success final report. This final report will help students identify, understand, and prepare to exceed expectations of them on campus, in the engineering curriculum, and in professional interactions with faculty and industry. Prerequisite: Instructor Approval Required. Restricted to First time Freshmen.",,ENG,Engineering
590,Special Topics,2 TO 8 hours.,May be repeated in the same or in multiple semesters if topics vary.,,MDIA,Media
250,Observation and Program Analys,4 hours.,"Early field experience in agricultural education, including observation and analysis activities in public schools, extension programs, or other selected settings; participation in clinical field experience activities; examination of educational program development and operation, teaching and learning processes, contextual factors in learning, evaluation of student learning; and professionalism. Approximately 45 hours of early field experience will be acquired. Off-campus observation begins the first week of January. Agricultural education programs in both school and non-school settings are examined. Prerequisite: AGED 220; concurrent enrollment in EDPR 203.",,AGED,Agricultural Education
211,Business Analytics II,3 hours.,"Builds on the foundation from the Business Analytics I (BADM 210), synthesizes concepts through hands-on application and project-based learning. Focuses on data acquisition, organization, analysis and visualization in a business setting. Expanding on the use of statistics in generating basic inferences to predictive modeling Identify opportunities for improving business decisions using data, conduct relevant analysis of the gathered and cleaned data, and finally, interpret and present analysis outcomes to decision makers. Using statistical tools and software applications to identify business problems, acquire relevant data, and generate analytic solutions using advanced analytics techniques and tools for generating insights. Introduces the students to analyzing, learning, and prediction using advanced analytics techniques and tools for generating business insights. This course will provide a practical introduction to various techniques regarding clustering, text mining, classification and decision trees, and time series analysis. Finally, the course will introduce advanced and emerging topics in predictive analytics. Prerequisite: BADM 210; CS 105 or equivalent.",,BADM,Business Administration
461,"Tech, Eng, & Mgt Final Project",4 hours.,Same as BADM 461. See BADM 461.,,TMGT,Technology and Management Courses
302,Industrial Design IV,4 hours.,"Industrial design problems of increasing complexity, scope and size. Continuation of ARTD 301. Additional fees may apply. See Class Schedule. Prerequisite: ARTD 301.",,ARTD,Art--Design
101,Global Development & Environment,3 hours.,"Introduces geographical perspectives on environment and development studies with case studies drawn from Africa, Asia, and Latin America. Investigates the origins of the global South in relation to the global North, especially the historical and contemporary processes driving environmental, economic, and cultural change.","Cultural Studies - Non-West, and Social & Beh Sci - Soc Sci course.",GGIS,Geography & Geographic Information Science
100,Introduction to Sociology,4 hours.,"Sociology offers a unique lens through which we can examine the world around us. In this course you will develop a perspective that will allow you to analyze the social world in a way that reveals the hidden and/or overlooked social forces that shape our lives. This approach, the sociological imagination, will enable you to explore how social forces influence the ways we view and navigate our social world. We will discuss how sociologists use theory and research to better understand important social issues such as inequalities of race, class, gender, sexualities and how social order and social change are possible. We will discuss how society affects individuals and in turn how individuals can affect society.",Social & Beh Sci - Soc Sci course.,SOC,Sociology
102,Elementary Polish II,4 hours.,Continuation of POL 101 Prerequisite: POL 101.,,POL,Polish
177,Engineering First-Year Experience Seminars,1 TO 2 hours.,"Provides first-year students with opportunities to participate in interdisciplinary courses designed to help explore what is means to be an engineer and develop skills required in the engineering workplace, be it team dynamics, leadership skills, intercultural competency, or communication techniques. Students will explore topic areas offered as separate sections under the course heading. Each section uses a hands-on, interactive, discussion/team-based approach. The courses use active learning exercises in addition to reflections, readings, and project work. May be repeated in the same or separate terms for a maximum of 4 hours.",,ENG,Engineering
420,Neural Interface Engineering,3 OR 4 hours.,Same as ECE 421. See ECE 421.,,NE,Neural Engineering
410,Grad Early Field Experience,2 hours.,An introduction to the application of pedagogy through early field experiences in agricultural education. Students participate in eight weeks of instruction and 40 hours of participatory experiences in approved agricultural education programs. Off-campus observation begins the first week of January. Restricted to graduate students in the teacher education option. 2 undergraduate hours. 2 graduate hours. Prerequisite: Concurrent enrollment in EDPR 203.,,AGED,Agricultural Education
299,BUS Internship,0 hours.,"Accommodates students who must be registered for a course at the University while completing an internship, either because the internship is unpaid and the company requires registration, or because of visa requirements. Only internships in the College of Business will be considered. Approved for S/U grading only.",,BUS,Business
103,Intermediate Italian I,4 hours.,"Rapid reading, review of grammar, composition, and conversation. Prerequisite: ITAL 102 or two years of high school Italian.",,ITAL,Italian
204,Cities of the World,3 hours.,"In-depth exploration of global urbanization. Using a comparative regional approach, discuss the recent history of global urbanization, dissect its problems, and offer possible solutions. Approximately ten major regions of the world will be examined, exploring the significant urban patterns and processes, built and natural environments, and social, economic, and cultural landscapes of each.","Social & Beh Sci - Soc Sci, and Cultural Studies - Western course.",GGIS,Geography & Geographic Information Science
115,Intro to Polish Culture,3 hours.,"Introduction to Polish culture and literature from a broad historical perspective. Drawing on novels and plays, film, the visual arts, and works of historical research, the course provides students with the basic concepts, methodologies and theories of literary and cultural interpretation, with an emphasis on modern Polish culture (1800-2010) within a broader European context. Same as REES 115.","Humanities - Lit & Arts, and Cultural Studies - Western course.",POL,Polish
262,Agricultural Machine Systems Management,3 hours.,"Performance, costs, application, selection, and replacement of agricultural machinery and field implements; analysis of mechanized field operations. Includes laboratory.",,ETMA,Engineering Technology and Management for Agricultural Systems
410,Translation and Interpreting Theory & Practice,3 OR 4 hours.,"Study of the theory and methods of translation and interpreting. Emphasis is on contemporary theoretical trends in the translation and interpreting fields, and practical application of theoretical models. 3 undergraduate hours. 4 graduate hours. Prerequisite: Departmental approval.",,TRST,Translation Studies
104,Black Music,3 hours.,"What is black music, and how do we know what we think we know about it? Together, we will examine musical creations pioneered by Africans and individuals of African descent over several centuries and across hemispheres. Doing so will allow us to consider the unity of the African Diaspora and its music, and also examine internal differences and diversity. Special focus is given to Latin America and the U.S., but, depending on the semester, we will also read about, listen to, and talk about music and musicians in Asia, Africa, and Europe.","Humanities - Hist & Phil, and Cultural Studies - US Minority course.",HIST,History
599,Thesis Research,0 TO 16 hours.,Approved for S/U grading only. May be repeated to a maximum of 16 hours.,,MDIA,Media
420,Curr Design & Instruction,3 hours.,"This instructional methodology course provides students the opportunity to analyze the principles of learning and teaching as they influence the academic motivation of learners in formal and non-formal environments within agricultural, food and environmental sciences. Topics include: the understanding and implementation of psychological aspects of learning, planning and development of agricultural courses and curricula, creating teaching plans, managing positive learning environments, evaluating student learning, and the utilization of effective self-reflective teaching behaviors. 3 undergraduate hours. 3 graduate hours. Prerequisite: AGED 220 for majors; consent of instructor for non-majors.",,AGED,Agricultural Education
301,Business in Action,3 hours.,"Introduces students to the complexities of business by working on a real organizational problem with an actual client. Students will work with a client to identify, analyze, and present recommendations to solve an organizational problem. Requires students to apply problem-solving skills to uncertain situations as well as build and manage a professional team. Prerequisite: BUS 201-Business Dynamics.",,BUS,Business
210,Social & Environmental Issues,3 hours.,"Introduction to the complex relationship between people and the natural environment from a social science perspective. Explores different approaches to environmental issues, and examines the role of population change, political economy, technologies, environmental policymaking, and social institutions in causing and resolving contemporary social and environmental global issues. Same as ESE 210.",Social & Beh Sci - Soc Sci course.,GGIS,Geography & Geographic Information Science
199,Undergraduate Open Seminar,1 TO 5 hours.,May be repeated.,,POL,Polish
105,Writing and Research,4 hours.,"Introduction in research-based writing and the construction of academic, argumentative essays that use primary and secondary sources as evidence. This course fulfills the Campus Composition I general education requirement. Credit is not given for both RHET 105 and any of these other Comp I courses: RHET 101, RHET 102, CMN 111 or CMN 112.",Composition I course.,RHET,Rhetoric and Composition
317,UI/UX Design for Non-Majors,3 hours.,"This User interface/User experience (UI/UX) studio introduces the non-designer to the construction of compelling user experiences that incorporate the use of digital products/code. Students investigate both the theoretical and practical aspects of UI/UX through projects involving information architecture, user scenarios, wireframing, interface design, and creative code for web and mobile products. Additional fees may apply. See Class Schedule.",,ARTD,Art--Design
283,Asian American History,3 hours.,Same as HIST 283. See HIST 283.,"Humanities - Hist & Phil, and Cultural Studies - US Minority course.",AAS,Asian American Studies
105,Latin America to Independence,3 hours.,Survey of Latin American history from the discovery of America to 1824.,"Humanities - Hist & Phil, and Cultural Studies - Non-West course.",HIST,History
104,Intermediate Italian II,4 hours.,Continuation of ITAL 103. Prerequisite: ITAL 103 or three years of high school Italian.,,ITAL,Italian
302,Applied Neuroscience,3 hours.,Same as PSYC 302. See PSYC 302.,,NEUR,Neuroscience
293,Off-Campus Internship,1 TO 4 hours.,Supervised off-campus experience in a field directly pertaining to technical systems management. May be repeated to a maximum of 6 hours. Prerequisite: Sophomore standing and consent of instructor.,,ETMA,Engineering Technology and Management for Agricultural Systems
450,Program Delivery and Eval,4 hours.,"Students complete this course during their twelve-week practice teaching or internship experience. Written assignments will focus on development of teaching plans, program initiation and improvement plans, and actual evaluation studies of agricultural education programs. Instruction will be provided during on-site faculty visits and by cooperating personnel. 4 undergraduate hours. 4 graduate hours. Prerequisite: AGED 420.",,AGED,Agricultural Education
407,Theory Practice in Elementary School Teaching II,3 hours.,"Course continues the examination of teaching in the elementary grades, begun in CI 405 and CI 406. In addition to continuing the study of some topics introduced in the previous courses, students will focus on the following topics as they complete student teaching: designing instruction for classes including special needs students, managing technology in the classroom, and working with parents. 3 undergraduate hours. 3 graduate hours. Prerequisite: CI 406; admission to the Elementary Teacher Education Program. Requires concurrent enrollment in EDPR 432.",,CI,Curriculum and Instruction
222,Big Rivers of the World,3 hours.,"An interdisciplinary approach to the study of big rivers, encompassing geomorphology, engineering, ecology, risk assessment and planning. Commencing with an assessment of the nature of big rivers; their hydrology and geomorphic setting; hazards associated with large rivers, and issues of river impoundment and management, then proceed to examine the geography, geomorphology, and ecology and management of a range of the World's greatest rivers, focusing on how a geomorphological understanding of such large rivers can aid study of riverine ecohabitats and inform decisions regarding water usage and engineering management. If the weather permits, a one day field-trip will be organized in the second half of the course to view aspects of a local river in Illinois/Indiana. Same as ESE 222.",,GGIS,Geography & Geographic Information Science
202,Second Yr Polish II,4 hours.,Continuation of POL 201. Prerequisite: POL 201.,,POL,Polish
201,Medieval Literature and Culture,3 hours.,Same as CWL 253 and ENGL 202. See ENGL 202.,"Humanities - Lit & Arts, and Cultural Studies - Western course.",MDVL,Medieval Studies
131,Production Practicum I,1 OR 2 hours.,Practical experience in the production of dance concerts mounted in the Krannert Center for the Performing Arts. May be repeated to a maximum of 6 hours. (1 hour credit per concert up to 2 hours per term).,,DANC,Dance
120,East Asian Civilizations,3 hours.,"Surveys the three major East Asian civilizations from ancient and classical times, through the period of Western influence, political revolution, and modernization, to the contemporary age and the emergence of East Asian superpowers. Same as EALC 120. Credit is not given for both HIST 120 and EALC 135.","Humanities - Hist & Phil, and Cultural Studies - Non-West course.",HIST,History
286,Asian American Literature,3 hours.,Same as ENGL 286. See ENGL 286.,"Humanities - Lit & Arts, and Cultural Studies - US Minority course.",AAS,Asian American Studies
305,Art and Cultural Property Law,3 hours.,"This course concerns the emergence of ""art"" and ""cultural property"" law as a distinct field of legal inquiry and practice. Still, this subject draws from nearly the entire spectrum of traditional legal subjects � intellectual property, free speech, contracts, crime, treaties, tax, etc. Art and Cultural Property Law deals with the relationships, rights, transactions and disputes among collectors, artists (and their heirs), dealers, auction houses, museums and other art world participants (including local and foreign governments, sovereign nations and indigenous peoples, the entertainment industry, sports franchises and social media). Among the dozens of important relevant issues in this field are the successes and failures of law in policing cultural heritage crimes, the rise of artistic nationalism, cultural heritage as a casualty of war, censorship, and provenance studies. Approved for Letter and S/U grading.",,LAW,Law
430,Chinese Poetry and Translation,3 hours.,Same as EALC 425. See EALC 425.,,TRST,Translation Studies
405,Cognitive Neuroscience,3 OR 4 hours.,Same as PSYC 404. See PSYC 404.,,NEUR,Neuroscience
326,Sustainability & Manufacturing,3 hours.,"Exploration of environmental origins, theory and practice of sustainable product design. Environmentally-responsive design methodologies and topics such as industrial ecology, dematerialization, design for disassembly, design for recycling and life-cycle assessment. Additional fees may apply. See Class Schedule. Prerequisite: Junior standing in Art and Design or consent of instructor.",,ARTD,Art--Design
295,Undergrad Research or Thesis,1 TO 4 hours.,"Individual research, special problems, thesis, development and/or design work under the supervision of an appropriate member of the faculty. May be repeated if topics vary to a maximum if 6 hours in the same term and a maximum of 12 hours in separate terms. Prerequisite: Sophomore standing, cumulative GPA of 2.5 or above at the time the activity is arranged, and consent of instructor.",,ETMA,Engineering Technology and Management for Agricultural Systems
199,Undergraduate Open Seminar,1 TO 5 hours.,Approved for letter and S/U grading. May be repeated to a maximum of 5 hours.,,ITAL,Italian
