201,Industrial Design I,4 hours.,"Introduction to the creative process and methods involved in industrial design; research, modeling, form giving, prototyping and communication with emphasis on user centered design. Projects of escalating scale and complexity complemented by lectures and demonstrations. Additional fees may apply. See Class Schedule. Prerequisite: Completion of the First-Year Curriculum in Art & Design. Concurrent registration in ARTD 225.",,ARTD,Art--Design
398,Undergraduate Seminar,1 TO 3 hours.,"Special topics in a field of study directly pertaining to subject matter in agricultural communications. Same as ALEC 398. May be repeated in the same or separate semesters, if topics vary.",,AGCM,Agricultural Communications
303,Sustainable Business I,4 hours.,"At the dawn of the 21st century, business and society is confronted with a confluence of factors, including environmental degradation, widespread poverty, and the need for renewable sources of energy. The diverse sources of information that point to an uncertain future suggests that a 'business as usual' approach has to be replaced with more proactive alternatives that address the needs of the environment, consumer welfare and community development. This course on sustainable marketing management begins to address these issues and engender an appreciation among our students for the challenges that lie ahead for businesses. Looks at the relationship between sustainable business practices, societal welfare, and ecological systems. Student projects will apply marketing and business concepts to create a sustainable business plan for organizations.",,ENSU,Environmental Sustainability
499,Seminar,1 TO 4 hours.,"Special topics in agricultural leadership, education or communications. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate semesters, if topics vary. Prerequisite: ALEC Program approval required.",,AGCM,Agricultural Communications
200,U.S. Race and Empire,3 hours.,"Invites students to examine histories and narratives of U.S. race and empire, drawing upon multiple theoretical and methodological works in Asian American studies and related fields. Same as LLS 200.","Humanities - Hist & Phil, and Cultural Studies - US Minority course.",AAS,Asian American Studies
199,Undergraduate Open Seminar,0 TO 5 hours.,Approved for letter and S/U grading. Course may be repeated for credit.,,FIN,Finance
222,Typographic Practice,3 hours.,This introductory studio functions as a survey of typographic practice across media platforms. Students relate typographic form to reading conventions and reproduction technologies. Additional fees may apply. See Class Schedule. Prerequisite: Completion of the First-Year Curriculum in Art & Design.,,ARTD,Art--Design
310,Renewable & Alternative Energy,4 hours.,"Fossil fuel supplies are finite and growing energy demands of an ever increasing population will quickly deplete these reservoirs. Focuses on the use and availability of renewable and alternative energy sources such as wind, solar, bio-fuels, ethanol, geothermal and nuclear power as well as the impacts of using these alternative energy sources on climate, society and the global economy. Students will develop the student's perspective on human energy consumption at all scales through a complete scale analysis of energy production and consumption � from the individual to the national government to the world economy.",,ENSU,Environmental Sustainability
101,Elementary Greek I,4 hours.,"Introduces ancient Greek (both classical and koine), including the reading of simple prose. Same as REL 111.",,GRK,Greek
501,Understanding Users of Health Technology,4 hours.,"The purpose of this course is to provide a broad overview of human characteristics related to health technology. Topics will include physical (e.g., anthropometry, biomechanics); sensory (e.g., vision, hearing), cognitive (e.g., learning capabilities, memory limitations); attitudinal (e.g., technology acceptance, behavior change), socioemotional (e.g., personality, motivation), and organizational (e.g., workplace policies, culture) characteristics. Students will learn to apply theories of human behavior related to health technology use such as behavior change, reasoned action, self- determination, person-environment fit to guide design and deployment of health technology. 4 graduate hours. No professional credit. Prerequisite: Priority is given to Health Technology graduate students. Other students please contact the instructor.",,HT,Health Technology
201,US Racial & Ethnic Politics,3 hours.,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.","Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",AAS,Asian American Studies
108,Religion & Society in West I,3 hours.,"Same as ANTH 108, PHIL 108, and REL 108. See REL 108.","Humanities - Hist & Phil, and Cultural Studies - Western course.",JS,Jewish Studies
199,Undergraduate Open Seminar,1 TO 5 hours.,May be repeated.,,GRK,Greek
220,Prog Del in Ag & Leadership Ed,3 hours.,"Introduces formal and non-formal methods used to deliver education and training in agricultural and leadership education programs. Focuses on types and purposes of agricultural education, program components, principles of teaching and learning, community relationships, and reflective teaching. Technology-supported lab component provides skills needed to develop teaching and training materials.",,AGED,Agricultural Education
100,Introduction to Labor Studies,3 hours.,"Provides an overview of workers and unions in American society. Looks at economic, political, and workplace issues facing working people, why and how workers join unions, how unions are structured and function, and how unions and management bargain a contract. Provides a historical overview of the American labor movement, and discusses the contemporary struggles workers and unions face in a rapidly changing global economy.",Social & Beh Sci - Soc Sci course.,LER,Labor and Employment Relations
502,Human Factors Methods for Health Technology,4 hours.,"The purpose of this course is to introduce students to the basic tenets of human factors methods to enable successful user-centered design of healthcare technologies. Students will learn about socio-technical systems and develop an understanding of interactions among humans and other elements of a system. Students will acquire skills to apply theory, principles, data, and methods to design that will optimize human well-being and overall system performance. Students will learn how to find information to guide design through literature review, standards evaluation, and comparative assessments. 4 graduate hours. No professional credit. Prerequisite: Priority will be given to Health Technology graduate students. Other students please contact the instructor.",,HT,Health Technology
210,Environmental Economics,3 hours.,"Same as ACE 210, ECON 210, NRES 210, and UP 210. See ACE 210.",Social & Beh Sci - Soc Sci course.,ENVS,Environmental Studies
221,Corporate Finance,3 hours.,"Introductory study of corporate financial management, in particular how the financial manager's choices add value to shareholder wealth through investment financing and operating decisions. Prerequisite: Completion of ECON 102 or ECON 103.",,FIN,Finance
225,Design Drawing,3 hours.,Introduction to rapid drawing methods and tools used by designers. Focuses on theory and application of orthographic and perspective drawing for communication of design ideas. Additional fees may apply. See Class Schedule. May be repeated to a maximum of 6 hours. Prerequisite: Industrial Design majors must have completed the First-Year Curriculum in Art & Design. Industrial Design majors must have concurrent registration in ARTD 201. Sustainable Design majors are restricted by sophomore standing.,,ARTD,Art--Design
231,Development of Ancient Cities,3 hours.,Same as ARTH 217 and CLCV 231. See CLCV 231.,"Humanities - Hist & Phil, and Cultural Studies - Western course.",JS,Jewish Studies
201,Classical & Koine Greek I,4 hours.,"Readings in classical Greek prose, and narrative and epistolary New Testament texts. Same as REL 200.  Prerequisite: GRK 102.",,GRK,Greek
590,Individual Topics,1 TO 16 hours.,Approved for S/U grading only. May be repeated. Prerequisite: Consent of instructor.,,MICR,Microbiology
350,Early Field Experience,3 hours.,"Supervised experience during the summer months and fall semester including:  supervision of students' agricultural experience programs and projects; development of problem-solving and decision-making skills related to use of instructional technologies, management of FFA activities, and supervision of agricultural experiences; review of teacher certification requirements and application for teacher certification; development of online teacher certification portfolio meeting state, UIUC, and program requirements. A minimum of 50 hours or early field observation is required. Prerequisite: AGED 250.",,AGED,Agricultural Education
100,Fundamentals of Env Sci,3 hours.,"Introduction to environmental sciences and current environment issues. Topics include population growth, world food supplies, agriculture and the environment, biodiversity, fossil fuels and ""green"" energy issues, endangered and threatened species, water use, conservation and pollution, global warming, acid rain, ozone depletion, waste management and reduction, recycling, toxins and health, mineral resources, and environmental policies and regulations. Course addresses the complex relationships between the human race and the natural systems that contain our air, water, energy, and biotic and food resources. Credit is not given for both NRES 100 and NRES 102.",Nat Sci & Tech - Phys Sciences course.,NRES,Natural Resources and Environmental Sciences
215,US Citizenship Comparatively,3 hours.,"Examines the racial, gendered, and sexualized aspects of US citizenship historically and comparatively. Interdisciplinary course taught from a humanities perspective. Readings draw from critical legal studies, history, literature, literary criticism, and ethnography. Same as AFRO 215, AIS 295, GWS 215, and LLS 215. Prerequisite: One of: AAS 100, AAS 120, AFRO 100 AIS 101, GWS 250, LLS 100.","Humanities - Hist & Phil, and Cultural Studies - US Minority course.",AAS,Asian American Studies
503,Hardware Engineering for Health Technology,4 hours.,"In this course, students will explore the role of hardware in developing health technologies. Students will understand how various health technologies are developed and how they operate. HT 503 surveys hardware-engineering topics for health technology and will include exposure to and initial examination of topics. Topics may include: Sensors and Actuators in Healthcare; Common Prototyping platforms (Arduino, Raspberry Pi, Jetson Nano); Robot Operating System (ROS) Platforms; Cameras, LIDARs, Motion-Detection Systems (Microsoft Kinect, etc); Haptic Sensors; Dynamics of Wheeled Personal Transport Systems (Wheelchairs, etc.); Integrative Final Course-Project. Although there is not a traditional lab associated with this class, the course will include lectures, discussion, and hands-on activity based projects. 4 graduate hours. No professional credit. Registration priority will be given to Health Technology graduate students. Other students please contact the instructor.",,HT,Health Technology
100,Intro to Political Science,3 hours.,Surveys the major concepts and approaches employed in the study of politics. Credit is not given toward graduation for both PS 100 and PS 200.,Social & Beh Sci - Soc Sci course.,PS,Political Science
101,First-Year Russian I,4 hours.,"Oral-aural practice and elements of grammar, reading, and writing. For students who have no credit in Russian.",,RUSS,Russian
110,Labor and Social Movements,3 hours.,"Explores the role of labor unions in American society. Discusses the role of labor unions in initiating actions on social issues that impact the U.S. working class, the economy, public policy, and politics. Analyzes the labor movement's interaction with the civil rights, women's, student, global justice, and living wage movements.",,LER,Labor and Employment Relations
595,Microbiology Graduate Seminar,0 TO 1 hours.,Required of all graduate students whose major is microbiology. Approved for S/U grading only. May be repeated. Prerequisite: Consent of instructor.,,MICR,Microbiology
401,Survey of Greek Literature,3 OR 4 hours.,Advanced level readings in Ancient Greek literature. 3 undergraduate hours. 4 graduate hours. May be repeated if topics vary. Prerequisite: GRK 202 or equivalent.,,GRK,Greek
335,Middle East 1566-1914,3 hours.,Same as HIST 335. See HIST 335.,,JS,Jewish Studies
421,Teaching Strategies in AGED,3 hours.,"Synthesis of principles of teaching and learning as they influence educational activities in formal and non-formal environments within agricultural and related sciences. Gives individuals an opportunity to apply the educational concepts covered in AGED 300 or AGED 420. Individuals will design, implement, and evaluate learner-centered approaches in a variety of simulated educational environments. 3 undergraduate hours. 3 graduate hours. Prerequisite: AGED 300 or AGED 420 or graduate standing.",,AGED,Agricultural Education
101,Elementary Spanish I,4 hours.,"Intensive course for beginner students of Spanish. Students will develop basic listening, speaking, reading and writing skills and awareness of the various cultures of the Spanish-speaking world, including the US. This is considered a first-level course for the purposes of fulfilling the Language Other Than English (LOTE) requirement. Instruction in Spanish. Credit is not given towards graduation for SPAN 101 for students who have the equivalent of four or more years credit in Spanish at the secondary level. Prerequisite: None or assignment by placement exam.",,SPAN,Spanish
104,Making Dances,2 hours.,"Introduction to basic choreographic elements. Course work will include dancing, dance making, viewing dance, in-class discussions and short writing assignments. Concert attendance is required. May be repeated to a maximum of 8 hours. Prerequisite: For non-dance majors.",,DANC,Dance
510,Health Technology Capstone Orientation,1 hours.,"In this course, students will be exposed to a variety of industry, community organization, government, and academic environments with health technology projects/challenges needing solutions. Guest speakers will acquaint students with their unique needs to match students with community /industry/ government/ academic partners. Students will explore possible Capstone Project topics and will decide on their capstone project by the end of the semester. HT 510 prepares students and is a prerequisite of HT 511. 1 graduate hour. No professional credit. Prerequisite: Restricted to majors only.",,HT,Health Technology
102,Introduction to NRES,3 hours.,"Introduction to natural resources (forests, fisheries, soils, aquatic systems) and environmental science. Emphasizes renewable natural resources, ecological concepts, energy use, biodiversity of species, biogeochemical cycles, and air, water, and soil pollution. Provides natural science basis for understanding contemporary environmental issues and natural resource management. Credit is not given for both NRES 100 and NRES 102.",,NRES,Natural Resources and Environmental Sciences
260,Intro Asian American Theatre,3 hours.,Same as THEA 260. See THEA 260.,Cultural Studies - US Minority course.,AAS,Asian American Studies
100,Vocabulary Building from Greek and Latin Roots,3 hours.,"Study of the Greek and Latin roots of English and vocabulary building. Analysis of Greek and Latin roots, prefixes, and suffixes in variety of disciplines and fields (humanities, social sciences, mathematics, science, politics).",,CLCV,Classical Civilization
101,Basic Ukrainian I,4 hours.,"Oral and written work on basic pronunciation, grammar, and vocabulary. For students with no previous study of Ukrainian.",,UKR,Ukrainian
599,Thesis Research,0 TO 16 hours.,Approved for S/U grading only. May be repeated.,,MICR,Microbiology
230,Design Thinking/Need-Finding,3 hours.,"Design thinking, a term with origins in industrial design practice, describes a human-centered approach to design and innovation in products and services, addressing the tri-partite requirements of feasibility, desirability and viability. With this focus on determining user needs, a variety of processes, including observation, empathy, ideation, prototyping and modeling, are used to discover people's needs and opportunities for design thinking, along with the communication of design outcomes by diagrammatic and narrative means. Design thinking is best done in teams, hence the project team basis for this course. This course concentrates on need-finding rather than the full resolution of design proposals. Same as TE 230. Additional fees may apply. See Class Schedule. Prerequisite: For Art+Design or Engineering majors only.",,ARTD,Art--Design
495,Independent Study,2 TO 4 hours.,Readings in selected fields in consultation with the instructor along with the completion of a specified writing assignment. 2 to 4 undergraduate hours. 2 to 4 graduate hours. May be repeated in the same term to a maximum of 4 undergraduate hours or 8 graduate hours. May be repeated in separate terms to a maximum of 8 undergraduate hours and 16 graduate hours. Prerequisite: Consent of instructor.,,JS,Jewish Studies
496,Beginning Agriculture Teachers Seminar,2 hours.,"The purpose of this course is to gain knowledge and skills to be an effective agriculture educator. This course is intended for high school agriculture teachers who are entering their first year as an educator. This is a blended course; the majority of the course will take place during the two-day, face-to-face instruction at an off-campus location (16 contact hours), while the remainder of the course will occur through online instruction. No undergraduate credit. 2 graduate hours. Prerequisite: Restricted to students who have completed an undergraduate degree and have accepted a position teaching agriculture in a secondary school in the state of Illinois.",,AGED,Agricultural Education
116,Dance I,2 hours.,"An umbrella course for non-majors to explore all beginning dancing technique courses offered in the Department. Courses are offered from a range of cultural origins and traditions, which may include techniques such as Ballet, Capoeira, Contemporary Modern, Hip Hop, House, Improvisation, Jazz, Tap, Umfundalai, West African, etc. Specific dance forms for each semester will be listed in the class schedule. These introductory courses provide students with the physical study of various dance techniques, and an introduction to the cultural contest of their creation and practice. May be repeated. Prerequisite: Restricted to non-dance majors.",,DANC,Dance
411,Greek Prose Composition,3 hours.,Practice in the writing of Greek prose. 3 undergraduate hours. 3 graduate hours. Prerequisite: GRK 201 or equivalent.,,GRK,Greek
120,Contemporary Labor Problems,3 hours.,"Focuses on problems and challenges facing American workers and the U.S. labor movement. Topics include the deterioration of the labor-management ""social contract"" in recent decades; a review of labor and employment law; the health care crisis; globalization and cross-border union alliances; and union democracy.",,LER,Labor and Employment Relations
281,Constructing Race in America,3 hours.,"Same as AFRO 281, HIST 281, and LLS 281. See HIST 281.","Humanities - Hist & Phil, and Cultural Studies - US Minority course.",AAS,Asian American Studies
102,Medical Terms-GRK & LAT Roots,3 hours.,Introduction to the study of Greek and Latin medical terms in various medical fields and to the linguistic patterns governing the combination of various roots through practical application of usage.,,CLCV,Classical Civilization
199,Undergraduate Open Seminar,1 TO 5 hours.,May be repeated.,,RUSS,Russian
113,Ukrainian Culture,3 hours.,"Course situates Ukrainian culture in the broad context of Slavic nations. Acquaints students with Ukrainian culture from the origins of Kievan Rus' in the Middle Ages to the present. Includes highlights of historical-cultural events, an overview of literature and of the arts, as well as an outline of Ukrainian folklore. No knowledge of Ukrainian required.","Humanities - Lit & Arts, and Cultural Studies - Western course.",UKR,Ukrainian
110,Introduction to the Humanities I: Philosophy & Art History,4 hours.,"A foundation course in the humanities for adult learners in the Odyssey program. Team-taught by faculty in Philosophy and Art History, it focuses on close, attentive, and critical readings of key texts and images drawn from the history of the Western tradition, presented in chronological order. The course engages beginning students in the distinctive disciplinary forms of philosophical and art historical inquiry, and provides academic skill building, critical thinking, and writing. Approved for Letter and S/U grading. Prerequisite: Restricted to adult students in the Odyssey program.",,HUM,Humanities Courses
251,Graphic Design Toolbox,2 hours.,This studio introduces students to the field of graphic design in theory and practice. The course examines what graphic designers make and the methods that are employed in contemporary design practice. Emphasis is placed on the organization and visual presentation of relevant content across media and their effect within systems. Additional fees may apply. See Class Schedule. Prerequisite: Completion of the First-Year Curriculum in Art & Design.,,ARTD,Art--Design
211,Business Analytics II,3 hours.,"Builds on the foundation from the Business Analytics I (BADM 210), synthesizes concepts through hands-on application and project-based learning. Focuses on data acquisition, organization, analysis and visualization in a business setting. Expanding on the use of statistics in generating basic inferences to predictive modeling Identify opportunities for improving business decisions using data, conduct relevant analysis of the gathered and cleaned data, and finally, interpret and present analysis outcomes to decision makers. Using statistical tools and software applications to identify business problems, acquire relevant data, and generate analytic solutions using advanced analytics techniques and tools for generating insights. Introduces the students to analyzing, learning, and prediction using advanced analytics techniques and tools for generating business insights. This course will provide a practical introduction to various techniques regarding clustering, text mining, classification and decision trees, and time series analysis. Finally, the course will introduce advanced and emerging topics in predictive analytics. Prerequisite: BADM 210; CS 105 or equivalent.",,BADM,Business Administration
500,Special Topics in Ag Education,1 TO 4 hours.,"Advanced study in selected phases of agricultural education applicable to agricultural educators in schools, community colleges, universities, cooperative extension, agribusiness, and community and governmental agencies. May be repeated in the same and subsequent terms.",,AGED,Agricultural Education
102,Elementary Spanish II,4 hours.,"Continuation of SPAN 101. Students continue developing basic listening, speaking, reading and writing skills in Spanish and awareness of the various cultures of the Spanish-speaking world, including the US. This is considered a second level course for the purposes of fulfilling the Language Other Than English (LOTE) requirement. Instruction in Spanish. Credit is not given towards graduation for both SPAN 102 and SPAN 122; students who have the equivalent of four or more years credit in Spanish at the secondary level will not receive credit towards graduation for SPAN 102. Prerequisite: SPAN 101 or equivalent.",,SPAN,Spanish
101,Introduction to the Army,2 hours.,"Introduces you to the professional challenges and competencies that are critical for effective leadership and are pertinent for effective execution of the Profession of Arms. Cadets learn how the personal development of life skills such as critical thinking, time management, goal setting, stress management, and comprehensive fitness relate to leadership, and the Army profession. The focus is on developing basic knowledge and comprehension of Army leadership dimensions while gaining an understanding of the Reserve Officers' Training Corps (ROTC) program, its purpose in the Army, and its advantages for the student. Topics for this course include: Army Leadership, Fitness, Basic Map Reading and Land Navigation. Prerequisite: Course is intended for students who have less than 60 credit hours.",,MILS,Military Science
199,Undergraduate Open Seminar,1 TO 5 hours.,May be repeated.,,LER,Labor and Employment Relations
100,Development Activities,1 TO 2 hours.,Skills and knowledge essential for leisure-time activities which are classified as developmental activities. Prerequisites and descriptions for each developmental activity are provided in the Class Schedule. More than one activity (Sections A through Z) may be taken in the same term. Additional fees may apply. See Class Schedule. May be repeated to a maximum of 2 hours.,,KIN,Kinesiology
201,Second-Year Russian I,4 hours.,"Oral-aural practice, systematic functional grammar, reading, and writing. Prerequisite: RUSS 102 or equivalent.",,RUSS,Russian
199,Undergraduate Open Seminar,1 TO 5 hours.,May be repeated.,,UKR,Ukrainian
492,Senior Thesis,2 TO 4 hours.,Thesis and honors. Open to candidates for distinction in Greek. 2 to 4 undergraduate hours. No graduate credit. Prerequisite: Senior standing and consent of Classics Honors Program.,,GRK,Greek
199,Undergraduate Open Seminar,1 TO 5 hours.,May be repeated.,,HUM,Humanities Courses
220,Communicating Agriculture,3 hours.,Same as AGCM 220 and NRES 220. See AGCM 220.,Advanced Composition course.,ENVS,Environmental Studies
103,The Great Lakes - Freshwater Wonder at Risk,3 hours.,"Introduction to the ecology of freshwater systems, viewed through the lens of the Great Lakes and associated tributaries. The Great Lakes hold 20% of the world's freshwater and 95% of the freshwater in North America. They have sustained human and wildlife populations for at least 10,000 years. Now, the integrity of this unique and priceless resource is threatened as never before. This eight-week online course will enhance student understanding of the ecology of this imperiled system, as well as the historical events and policies that have led to the present crisis, and the men and women who have played key roles in this unfolding story.",Nat Sci & Tech - Life Sciences course.,NRES,Natural Resources and Environmental Sciences
111,Mythology of Greece and Rome,2 hours.,"Study of the major myths of Greece and Rome and their impact upon later art, music, and literature. Credit is not given for both CLCV 111 and CLCV 115.",,CLCV,Classical Civilization
510,Education Program Management,4 hours.,"Theoretical and practical approaches to planning, delivering and evaluating programs in agricultural education, with a focus on development of comprehensive educational plans.",,AGED,Agricultural Education
220,Golden Age of Russian Literature,3 hours.,"Survey of Russian literature in the long 19th century; romanticism, realism, nationalism, orientalism, empire; writers may include Pushkin, Gogol, Lermontov, Pavlova, Turgenev, Dostoevsky, Tolstoy, Chekhov, and others; reading and discussion in English. Same as CWL 227.","Advanced Composition, and Humanities - Lit & Arts course.",RUSS,Russian
390,Individual Study,2 TO 4 hours.,"Supervised reading and research on interdisciplinary humanities topics chosen by the student in consultation with a faculty member. May be repeated to a maximum of 8 hours. Prerequisite: Consent of humanities adviser (An approved Learning Agreement must be submitted to 2002 Lincoln Hall, 702 S. Wright Street, Urbana, not later than the second week of the semester or the first week of the summer session).",,HUM,Humanities Courses
493,Independent Reading,1 TO 4 hours.,1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated to a maximum of 8 undergraduate hours or 12 graduate hours. Prerequisite: GRK 401 and consent of instructor.,,GRK,Greek
201,Second-Year Ukrainan I,4 hours.,"Completion of grammar, oral drills, and written exercises. Prerequisite: UKR 102 or equivalent.",,UKR,Ukrainian
299,Ind Studies of Env. Topics,0 TO 4 hours.,Approved for letter and S/U grading. Prerequisite: Consent of instructor.,,ENVS,Environmental Studies
270,Design Methods,2 hours.,"Design Methods is a hybrid studio and seminar that introduces students to the principles and process of human-centered design through a focus on research and observation outside of the studio. This approach will allow students to address the social and cultural contexts in which designers intervene. Through a series of exercises and projects, students will begin to develop competencies in conducting research in specific environments in order to inform and inspire the direction of their design projects. Students will also learn how to iterate design solutions and prototypes based on expert input, testing and user feedback. Students will better understand and articulate the tools and methodologies shared by all design disciplines as it relates to a variety of actions and outcomes: visual communication and the design of objects, services, interactions and experiences. Additional fees may apply. See Class Schedule. Prerequisite: Graphic Design majors must have completed the First-Year Curriculum in Art & Design. Sustainable Design majors are restricted by sophomore standing.",,ARTD,Art--Design
201,Introductory Soils,4 hours.,"The nature and properties of soil including origin, formation, and biological, chemical, and physical aspects. Prerequisite: Successful completion of MATH 115, MATH 234, or equivalent and CHEM 102 is required. CHEM 104 is recommended.",,NRES,Natural Resources and Environmental Sciences
225,Labor Issues in Sports,3 hours.,"Examines major labor issues in sports. How do players� unions work? Why are there so many work stoppages in sports? How do teams evaluate and develop talent? Should college athletes be considered employees? How do labor issues in sports intersect with broader structures of social inequality? Readings, films, discussions, and writing assignments equip students to be informed participants in the sports world, whether in their careers or in their lives as fans.",,LER,Labor and Employment Relations
114,Introduction to Ancient Greek Culture,3 hours.,"Introductory study of ancient Greek literature, art, and culture.","Humanities - Lit & Arts, and Cultural Studies - Western course.",CLCV,Classical Civilization
511,Grad Professional Dev in Ag Ed,1 hours.,"Analysis of teaching and learning processes, program improvement strategies, professional development, FFA chapter development, awareness of school law, program management, and discussion of trends and issues in agricultural education.",,AGED,Agricultural Education
290,Readings in Russian,1 TO 4 hours.,Individual topics or projects chosen in consultation with a Slavic Department representative. May be repeated to a maximum of 8 hours. Prerequisite: RUSS 202 or equivalent proficiency.,,RUSS,Russian
122,Intensive Elementary Spanish,4 hours.,"Intensive beginning Spanish, equivalent to the first two semesters, for students with little or no experience in Spanish or whose skills need refreshing. This is considered a second level course for the purposes of fulfilling the Language Other Than English (LOTE) requirement. Instruction in Spanish. Credit is not given towards graduation for both SPAN 122 and SPAN 102; students who have the equivalent of four or more years credit in Spanish at the secondary level will not receive credit towards graduation for SPAN 122. Prerequisite: None or assignment by placement exam.",,SPAN,Spanish
492,Senior Thesis,2 TO 4 hours.,"Individual research for majors in humanities leading to the completion of a thesis. 0 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 8 hours. Prerequisite: Senior standing, a declared option in humanities major, and consent of advisor.",,HUM,Humanities Courses
511,Advanced Composition,1 hours.,"Practice in writing continuous Greek prose, with special attention to stylistic problems.",,GRK,Greek
230,Introduction to Insurance,3 hours.,"Introductory course on the role of insurance in society; covers insurance terminology, common personal insurance policies (auto, health, life and homeowners) and current issues.",,FIN,Finance
310,Natural Resource Economics,3 hours.,"Same as ACE 310, and NRES 310. See ACE 310.",,ENVS,Environmental Studies
101,Intro to US Gov & Pol,3 hours.,"Examines the organization and development of national, state, and local governments in the U.S.; the federal system; the U.S. Constitutions; civil and political rights; the party system; and the nature, structure, powers, and procedures of national political institutions. This course may require limited participation as a subject in research.",Social & Beh Sci - Soc Sci course.,PS,Political Science
112,Leadership Laboratory,0 hours.,"Introductory practical application of military skills and leadership; includes basic military mountaineering and rappelling, first aid, individual marching and weapons familiarization. Field trip may be required. Approved for S/U grading only. May be repeated.",,MILS,Military Science
320,"Gender, Race, Class and Work",3 hours.,"Provides a historical and contemporary overview of the impact and interplay of gender, race, class and other issues of identity in the workplace. Topics include: pay gap, occupational segregation, workplace harassment, low wage work, and employment discrimination laws. The response of labor unions to identity issues will also be examined. Prerequisite: LER 100, LER 110 or one course that covers race or gender issues is required.",,LER,Labor and Employment Relations
115,Mythology of Greece and Rome,3 hours.,"Studies the major myths of Greece and Rome and their impact upon later art, music, and literature. Shares two hours of lecture with CLCV 111; additional hour of lecture-discussion for a closer analysis of topics. Credit is not given for both CLCV 115 and CLCV 111.",,CLCV,Classical Civilization
301,Third Year Russian I,3 hours.,Grammar review; training in writing Russian; translation from English and free composition. Prerequisite: RUSS 202 or consent of instructor.,,RUSS,Russian
